estrategia,mes_absoluto,anio,mes_calendario,fecha,ocupacion_asumida,ingreso_bruto,gastos,ingreso_neto,ingreso_neto_acumulado,balance_acumulado,roi_acumulado
3. Turistico (Airbnb/Booking),175,15,3,2041-03-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,250518.21833378647,-13606.28166621353,1.0528187364311261
4. Mixto (curso+verano),175,15,3,2041-03-01,0.95,833.625,207.83496458333332,625.7900354166667,135832.04672573938,-128292.45327426062,0.5708428103624265
1. Residencial anual,176,15,4,2041-04-01,0.95,912.0,212.92933958333333,699.0706604166667,123036.43623333334,-141088.06376666666,0.5170684439307979
2. Estudiantil x habitacion,176,15,4,2041-04-01,0.95,833.625,207.83496458333332,625.7900354166667,95206.62873333333,-168917.87126666668,0.4001119089444561
3. Turistico (Airbnb/Booking),176,15,4,2041-04-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,251880.15511420314,-12244.344885796861,1.058542362320669
4. Mixto (curso+verano),176,15,4,2041-04-01,0.95,833.625,207.83496458333332,625.7900354166667,136457.83676115604,-127666.66323884396,0.5734727327638413
1. Residencial anual,177,15,5,2041-05-01,0.95,912.0,212.92933958333333,699.0706604166667,123735.50689375,-140388.99310625,0.5200063328167682
2. Estudiantil x habitacion,177,15,5,2041-05-01,0.95,833.625,207.83496458333332,625.7900354166667,95832.41876875001,-168292.08123125,0.402741831345871
3. Turistico (Airbnb/Booking),177,15,5,2041-05-01,0.6,2650.272,1217.2227795833332,1433.049220416667,253313.2043346198,-10811.295665380196,1.0645648427594865
4. Mixto (curso+verano),177,15,5,2041-05-01,0.95,833.625,207.83496458333332,625.7900354166667,137083.6267965727,-127040.8732034273,0.5761026551652562
1. Residencial anual,178,15,6,2041-06-01,0.95,912.0,212.92933958333333,699.0706604166667,124434.57755416667,-139689.92244583333,0.5229442217027387
2. Estudiantil x habitacion,178,15,6,2041-06-01,0.95,833.625,207.83496458333332,625.7900354166667,96458.20880416667,-167666.29119583333,0.40537175374728585
3. Turistico (Airbnb/Booking),178,15,6,2041-06-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,254817.36599503647,-9307.134004963533,1.070886177747579
4. Mixto (curso+verano),178,15,6,2041-06-01,0.95,833.625,207.83496458333332,625.7900354166667,137709.41683198937,-126415.08316801063,0.578732577566671
1. Residencial anual,179,15,7,2041-07-01,0.95,912.0,212.92933958333333,699.0706604166667,125133.64821458333,-138990.85178541666,0.525882110588709
2. Estudiantil x habitacion,179,15,7,2041-07-01,0.3,263.25,170.76058958333334,92.48941041666667,96550.69821458333,-167573.80178541667,0.40576044637353786
3. Turistico (Airbnb/Booking),179,15,7,2041-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,256373.58557458333,-7750.914425416675,1.0774262894498143
4. Mixto (curso+verano),179,15,7,2041-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,139265.63641153622,-124858.86358846378,0.5852726892689062
1. Residencial anual,180,15,8,2041-08-01,0.95,912.0,212.92933958333333,699.0706604166667,125832.718875,-138291.78112499998,0.5288199994746796
2. Estudiantil x habitacion,180,15,8,2041-08-01,0.3,263.25,170.76058958333334,92.48941041666667,96643.187625,-167481.31237499998,0.4061491389997899
3. Turistico (Airbnb/Booking),180,15,8,2041-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,257948.859675,-6175.640324999986,1.0840464789871822
4. Mixto (curso+verano),180,15,8,2041-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,140840.9105119529,-123283.58948804709,0.5918928788062741
