cod_municipio,cod_provincia,cp,direccion,dormit_totales,estudio,fecha_alta,habdoble,habindi,municipio,nombre,numplazasdoble,numplazasindi,plazas_totales,provincia,ref_catastral,rural,signatura,superficie,web
122,3,3690.0,"CL PINTOR PICASSO, 1, Pl:02 Pt:DR",3,N,07/03/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 464442-A,2,2,4,ALICANTE/ALACANT,6329017YH1562N0006WK,N,CV-VUT0464442-A,123.00,
122,3,3690.0,"CL POETA GARCIA LORCA, 24, Es:1 Pl:04 Pt:C",3,N,20/09/2024,2.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 511587-A,4,1,5,ALICANTE/ALACANT,6624209YH1562S0035TM,N,CV-VUT0511587-A,159.00,
122,3,3690.0,"CL POU DEL, 9, Es:T Pl:OD Pt:OS",3,N,01/06/2023,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499661-A,6,0,6,ALICANTE/ALACANT,3680211YH1538S0001UL,N,CV-VUT0499661-A,189.00,
122,3,3690.0,"CL RAFAEL SABATER LLOPIS, 1, Pl:03 Pt:IZ",3,N,04/07/2023,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499817-A,2,2,4,ALICANTE/ALACANT,6027204YH1562N0008TB,N,CV-VUT0499817-A,101.00,
122,3,3690.0,"CL RIO DUERO, 34, Pl:01",6,N,04/05/2023,6.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 497637-A,12,0,12,ALICANTE/ALACANT,8124003YH1582S0001UY,N,CV-VUT0497637-A,502.00,
122,3,3690.0,"CL RIO GUADALQUIVIR, 7, Es:T Pl:OD Pt:OS",5,N,11/03/2025,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,10,0,10,ALICANTE/ALACANT,7928006YH1572N0001MJ,N,CV-VUT0514842-A,338.00,
122,3,3690.0,"CL RIO TAJO, 13, Pl:00",4,N,14/06/2024,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 509374-A,8,0,8,ALICANTE/ALACANT,7926014YH1572N0001SJ,N,CV-VUT0509374-A,144.00,
122,3,3690.0,"CL RIO TAJO, 15, Es:T Pl:OD Pt:OS",5,N,16/12/2024,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 513335-A,10,0,10,ALICANTE/ALACANT,7926015YH1572N0001ZJ,N,CV-VUT0513335-A,511.00,
122,3,3690.0,"CL ROBLE, 26, Es:T Pl:OD Pt:OS",3,N,09/02/2026,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,0,6,ALICANTE/ALACANT,9045019YH1584N0001DO,N,CV-VUT0520147-A,247.00,
122,3,3690.0,"CL ROSSINYOL, 4, Es:T Pl:OD Pt:OS",5,N,18/02/2021,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 485046-A,10,0,10,ALICANTE/ALACANT,7633008YH1573S0001YL,N,CV-VUT0485046-A,355.00,
122,3,3690.0,"CL SAN ISIDRO, 11, Es:1 Pl:01 Pt:IZ",3,N,28/11/2022,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 493991-A,2,2,4,ALICANTE/ALACANT,6830020YH1563S0006ZB,N,CV-VUT0493991-A,89.00,
122,3,3690.0,"CL SAN JUAN, 17C, Pl:04 Pt:1",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466338-A,2,3,5,ALICANTE/ALACANT,6927401YH1562N0042TL,N,CV-VUT0466338-A,124.00,
