fuente;precio;habitaciones;m2;zona;tipo_vivienda;texto_original;precio_m2;es_duplicado_cruzado;es_outlier_lujo
idealista;294480.0;2;91.0;;piso;294.480€ | Garaje incluido|2 hab.|91 m² | ;3236.0;False;False
idealista;190000.0;3;88.0;;piso;190.000€ | 3 hab.|88 m²|2ª planta exterior sin ascensor | ;2159.0;False;False
idealista;599000.0;8;360.0;;piso;599.000€ | 8 hab.|360 m² | ;1664.0;False;False
idealista;180000.0;3;75.0;;piso;180.000€ | 3 hab.|75 m²|2ª planta interior sin ascensor | ;2400.0;False;False
idealista;210000.0;3;89.0;;piso;210.000€ | Garaje incluido|3 hab.|89 m²|2ª planta exterior con ascensor | ;2360.0;False;False
idealista;225000.0;3;119.0;;piso;225.000€ | Garaje incluido|3 hab.|119 m²|1ª planta exterior con ascensor | ;1891.0;False;False
idealista;400000.0;6;369.0;;piso;400.000€ | Garaje incluido|6 hab.|369 m² | ;1084.0;False;False
idealista;350000.0;4;120.0;;piso;350.000€ | Garaje incluido|4 hab.|120 m² | ;2917.0;False;False
idealista;165000.0;3;87.0;;piso;165.000€ | 3 hab.|87 m²|3ª planta exterior sin ascensor | ;1897.0;False;False
idealista;470000.0;5;243.0;;piso;470.000€ | Garaje incluido|5 hab.|243 m² | ;1934.0;False;False
idealista;390000.0;5;138.0;;piso;390.000€ | Garaje incluido|5 hab.|138 m² | ;2826.0;False;False
idealista;850000.0;5;450.0;;chalet/villa;850.000€ | Garaje incluido|5 hab.|450 m² | Villa;1889.0;False;False
idealista;215000.0;3;93.0;;piso;215.000€ | Garaje incluido|3 hab.|93 m²|Bajo exterior con ascensor | ;2312.0;False;False
idealista;294000.0;2;105.0;;piso;294.000€ | Garaje incluido|2 hab.|105 m²|3ª planta exterior con ascensor | ;2800.0;False;False
idealista;550000.0;5;370.0;;chalet/villa;550.000€ | Garaje incluido|5 hab.|370 m² | Villa;1486.0;False;False
idealista;375000.0;3;101.0;;bungalow;375.000€ | Garaje incluido|3 hab.|101 m² | Bungalow;3713.0;False;False
idealista;167700.0;1;45.0;;piso;167.700€ | 1 hab.|45 m²|Bajo exterior con ascensor | ;3727.0;False;False
idealista;289000.0;2;109.0;;piso;289.000€ | Garaje incluido|2 hab.|109 m²|4ª planta exterior con ascensor | ;2651.0;False;False
idealista;365000.0;2;120.0;;piso;365.000€ | Garaje incluido|2 hab.|120 m² | ;3042.0;False;False
idealista;121600.0;1;35.0;;piso;121.600€ | 1 hab.|35 m²|exterior sin ascensor | ;3474.0;False;False
idealista;520000.0;4;217.0;;piso;520.000€ | 4 hab.|217 m² | ;2396.0;False;False
idealista;316000.0;4;120.0;;piso;316.000€ | Garaje incluido|4 hab.|120 m² | ;2633.0;False;False
fotocasa;177000.0;3;80.0;El Tubo, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;177.000€ | El Tubo, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·1 baño·80 m²·Trastero;2212.0;False;False
fotocasa;224800.0;4;100.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;224.800€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 4 habs·2 baños·100 m²·Ascensor·Terraza;2248.0;False;False
fotocasa;42000.0;2;54.0;Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;42.000€ | Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig | 2 habs·1 baño·54 m²·5ª Planta;778.0;False;False
fotocasa;220000.0;2;112.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;220.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 2 habs·1 baño·112 m²·Ascensor·Parking·Calefacción·Aire acondicionado;1964.0;False;False
fotocasa;420000.0;3;130.0;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;420.000€ | Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·130 m²·Terraza·Calefacción·Aire acondicionado·Trastero;3231.0;True;False
fotocasa;1065000.0;4;480.0;Los Girasoles, San Vicente del Raspeig / Sant Vicent del Raspeig;chalet/villa;1.065.000€ | Los Girasoles, San Vicente del Raspeig / Sant Vicent del Raspeig | 4 habs·5 baños·480 m²·Parking·Terraza·Piscina·Aire acondicionado·Trastero;2219.0;True;False
fotocasa;186000.0;2;72.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;186.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 2 habs·1 baño·72 m²·Bajos;2583.0;False;False
fotocasa;117000.0;3;60.0;Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;117.000€ | Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·1 baño·60 m²·1ª Planta;1950.0;False;False
